zipcode,area,bet,bath,sqft,type,built,year,price,house_id
94536.0,Cabrillo,2.0,2.0,988.0,Townhouse,1971.0,,nan,12
94536.0,Cabrillo,2.0,2.0,988.0,Townhouse,1971.0,,nan,12
94536.0,Cabrillo,2.0,2.0,988.0,Townhouse,1971.0,,nan,12
94538.0,Grimmer,2.0,1.0,648.0,Single Family,1976.0,0.0,658131.0,13
94538.0,Grimmer,2.0,1.0,648.0,Single Family,1976.0,243.0,75000.0,13
94538.0,Grimmer,2.0,1.0,648.0,Single Family,1976.0,,nan,13
94538.0,Grimmer,2.0,1.0,648.0,Single Family,1976.0,,nan,13
94538.0,Grimmer,2.0,1.0,648.0,Single Family,1976.0,,nan,13
94538.0,Grimmer,2.0,1.0,648.0,Single Family,1976.0,,nan,13
94538.0,Sundale,3.0,1.0,1269.0,Single Family,1961.0,0.0,823674.0,14
94538.0,Sundale,3.0,1.0,1269.0,Single Family,1961.0,6933.0,253000.0,14
94538.0,Sundale,3.0,1.0,1269.0,Single Family,1961.0,4197.0,630000.0,14
94538.0,Sundale,3.0,1.0,1269.0,Single Family,1961.0,270.0,112000.0,14
94538.0,Sundale,3.0,1.0,1269.0,Single Family,1961.0,,nan,14
94538.0,Sundale,3.0,1.0,1269.0,Single Family,1961.0,,nan,14
94536.0,Glenmoor,3.0,1.5,1665.0,Condo,1985.0,0.0,829866.0,15
94536.0,Glenmoor,3.0,1.5,1665.0,Condo,1985.0,5002.0,532500.0,15
94536.0,Glenmoor,3.0,1.5,1665.0,Condo,1985.0,4294.0,680000.0,15
94536.0,Glenmoor,3.0,1.5,1665.0,Condo,1985.0,2627.0,579761.0,15
94536.0,Glenmoor,3.0,1.5,1665.0,Condo,1985.0,3439.0,505000.0,15
94536.0,Glenmoor,3.0,1.5,1665.0,Condo,1985.0,972.0,469000.0,15
94538.0,Blacow,3.0,1.0,1204.0,Single Family,1961.0,0.0,717677.0,16
94538.0,Blacow,3.0,1.0,1204.0,Single Family,1961.0,2465.0,154500.0,16
94538.0,Blacow,3.0,1.0,1204.0,Single Family,1961.0,,nan,16
94538.0,Blacow,3.0,1.0,1204.0,Single Family,1961.0,,nan,16
94538.0,Blacow,3.0,1.0,1204.0,Single Family,1961.0,,nan,16
94538.0,Blacow,3.0,1.0,1204.0,Single Family,1961.0,,nan,16
94536.0,Glenmoor,4.0,1.0,2089.0,Single Family,1963.0,0.0,1099496.0,17
94536.0,Glenmoor,4.0,1.0,2089.0,Single Family,1963.0,2465.0,154500.0,17
94536.0,Glenmoor,4.0,1.0,2089.0,Single Family,1963.0,,nan,17
94536.0,Glenmoor,4.0,1.0,2089.0,Single Family,1963.0,,nan,17
94536.0,Glenmoor,4.0,1.0,2089.0,Single Family,1963.0,,nan,17
94536.0,Glenmoor,4.0,1.0,2089.0,Single Family,1963.0,,nan,17
94539.0,Kimber-Gomes,3.0,1.0,1557.0,Single Family,1974.0,0.0,1423336.0,18
94539.0,Kimber-Gomes,3.0,1.0,1557.0,Single Family,1974.0,300.0,160000.0,18
94539.0,Kimber-Gomes,3.0,1.0,1557.0,Single Family,1974.0,,nan,18
94539.0,Kimber-Gomes,3.0,1.0,1557.0,Single Family,1974.0,,nan,18
94539.0,Kimber-Gomes,3.0,1.0,1557.0,Single Family,1974.0,,nan,18
94539.0,Kimber-Gomes,3.0,1.0,1557.0,Single Family,1974.0,,nan,18
94536.0,Canyon Heights,2.0,2.0,1120.0,,1969.0,0.0,107214.0,19
94536.0,Canyon Heights,2.0,2.0,1120.0,,1969.0,303.0,98888.0,19
94536.0,Canyon Heights,2.0,2.0,1120.0,,1969.0,150.0,86000.0,19
94536.0,Canyon Heights,2.0,2.0,1120.0,,1969.0,,nan,19
94536.0,Canyon Heights,2.0,2.0,1120.0,,1969.0,,nan,19
94536.0,Canyon Heights,2.0,2.0,1120.0,,1969.0,,nan,19
94538.0,Cherry-Guardino,2.0,2.0,1077.0,Condo,1990.0,0.0,565285.0,20
94538.0,Cherry-Guardino,2.0,2.0,1077.0,Condo,1990.0,4760.0,351500.0,20
94538.0,Cherry-Guardino,2.0,2.0,1077.0,Condo,1990.0,4339.0,455000.0,20
94538.0,Cherry-Guardino,2.0,2.0,1077.0,Condo,1990.0,3379.0,490000.0,20
94538.0,Cherry-Guardino,2.0,2.0,1077.0,Condo,1990.0,325.0,190000.0,20
94538.0,Cherry-Guardino,2.0,2.0,1077.0,Condo,1990.0,,nan,20
94539.0,Weibel,4.0,3.0,1888.0,Single Family,1964.0,0.0,1476664.0,21
94539.0,Weibel,4.0,3.0,1888.0,Single Family,1964.0,3438.0,13.0,21
94539.0,Weibel,4.0,3.0,1888.0,Single Family,1964.0,,nan,21
94539.0,Weibel,4.0,3.0,1888.0,Single Family,1964.0,,nan,21
94539.0,Weibel,4.0,3.0,1888.0,Single Family,1964.0,,nan,21
94539.0,Weibel,4.0,3.0,1888.0,Single Family,1964.0,,nan,21
94538.0,Grimmer,3.0,1.0,1214.0,Single Family,1960.0,0.0,963062.0,22
94538.0,Grimmer,3.0,1.0,1214.0,Single Family,1960.0,4758.0,231000.0,22
94538.0,Grimmer,3.0,1.0,1214.0,Single Family,1960.0,3670.0,250000.0,22
94538.0,Grimmer,3.0,1.0,1214.0,Single Family,1960.0,3469.0,155500.0,22
94538.0,Grimmer,3.0,1.0,1214.0,Single Family,1960.0,,nan,22
94538.0,Grimmer,3.0,1.0,1214.0,Single Family,1960.0,,nan,22
94536.0,Cherry-Guardino,,2.0,938.0,Condo,1974.0,0.0,493659.0,23
94536.0,Cherry-Guardino,,2.0,938.0,Condo,1974.0,350.0,2600.0,23
94536.0,Cherry-Guardino,,2.0,938.0,Condo,1974.0,,nan,23
94536.0,Cherry-Guardino,,2.0,938.0,Condo,1974.0,,nan,23
94536.0,Cherry-Guardino,,2.0,938.0,Condo,1974.0,,nan,23
94536.0,Cherry-Guardino,,2.0,938.0,Condo,1974.0,,nan,23
94538.0,South Sundale,3.0,1.0,1040.0,Single Family,1962.0,0.0,718676.0,24
94538.0,South Sundale,3.0,1.0,1040.0,Single Family,1962.0,4622.0,500000.0,24
94538.0,South Sundale,3.0,1.0,1040.0,Single Family,1962.0,3792.0,570000.0,24
94538.0,South Sundale,3.0,1.0,1040.0,Single Family,1962.0,2285.0,330000.0,24
94538.0,South Sundale,3.0,1.0,1040.0,Single Family,1962.0,3230.0,320000.0,24
94538.0,South Sundale,3.0,1.0,1040.0,Single Family,1962.0,353.0,91500.0,24
94536.0,Centerville,3.0,2.0,1411.0,Single Family,1939.0,0.0,893569.0,25
94536.0,Centerville,3.0,2.0,1411.0,Single Family,1939.0,4184.0,500000.0,25
94536.0,Centerville,3.0,2.0,1411.0,Single Family,1939.0,353.0,118000.0,25
94536.0,Centerville,3.0,2.0,1411.0,Single Family,1939.0,,nan,25
94536.0,Centerville,3.0,2.0,1411.0,Single Family,1939.0,,nan,25
94536.0,Centerville,3.0,2.0,1411.0,Single Family,1939.0,,nan,25
94536.0,Centerville,2.0,1.0,944.0,Single Family,1952.0,0.0,707646.0,26
94536.0,Centerville,2.0,1.0,944.0,Single Family,1952.0,1866.0,487000.0,26
94536.0,Centerville,2.0,1.0,944.0,Single Family,1952.0,2459.0,406032.0,26
94536.0,Centerville,2.0,1.0,944.0,Single Family,1952.0,2343.0,312500.0,26
94536.0,Centerville,2.0,1.0,944.0,Single Family,1952.0,3683.0,137000.0,26
94536.0,Centerville,2.0,1.0,944.0,Single Family,1952.0,,nan,26
94538.0,South Sundale,3.0,2.0,1151.0,Single Family,1959.0,0.0,773334.0,27
94538.0,South Sundale,3.0,2.0,1151.0,Single Family,1959.0,6248.0,300000.0,27
94538.0,South Sundale,3.0,2.0,1151.0,Single Family,1959.0,4942.0,448000.0,27
94538.0,South Sundale,3.0,2.0,1151.0,Single Family,1959.0,4381.0,620000.0,27
94538.0,South Sundale,3.0,2.0,1151.0,Single Family,1959.0,2272.0,370000.0,27
94538.0,South Sundale,3.0,2.0,1151.0,Single Family,1959.0,384.0,200000.0,27
94536.0,Niles,4.0,1.0,1914.0,Single Family,1985.0,0.0,1037305.0,28
94536.0,Niles,4.0,1.0,1914.0,Single Family,1985.0,388.0,74000.0,28
94536.0,Niles,4.0,1.0,1914.0,Single Family,1985.0,,nan,28
94536.0,Niles,4.0,1.0,1914.0,Single Family,1985.0,,nan,28
94536.0,Niles,4.0,1.0,1914.0,Single Family,1985.0,,nan,28
94536.0,Niles,4.0,1.0,1914.0,Single Family,1985.0,,nan,28
94538.0,Irvington,4.0,3.0,1644.0,Single Family,2012.0,0.0,935628.0,29
94538.0,Irvington,4.0,3.0,1644.0,Single Family,2012.0,989.0,728000.0,29
94538.0,Irvington,4.0,3.0,1644.0,Single Family,2012.0,390.0,139000.0,29
94538.0,Irvington,4.0,3.0,1644.0,Single Family,2012.0,,nan,29
94538.0,Irvington,4.0,3.0,1644.0,Single Family,2012.0,,nan,29
94538.0,Irvington,4.0,3.0,1644.0,Single Family,2012.0,,nan,29
94538.0,Cherry-Guardino,2.0,1.0,844.0,Condo,1990.0,0.0,458660.0,30
94538.0,Cherry-Guardino,2.0,1.0,844.0,Condo,1990.0,1961.0,279500.0,30
94538.0,Cherry-Guardino,2.0,1.0,844.0,Condo,1990.0,3957.0,421000.0,30
94538.0,Cherry-Guardino,2.0,1.0,844.0,Condo,1990.0,394.0,60000.0,30
94538.0,Cherry-Guardino,2.0,1.0,844.0,Condo,1990.0,,nan,30
94538.0,Cherry-Guardino,2.0,1.0,844.0,Condo,1990.0,,nan,30
94536.0,Centerville,2.0,2.0,990.0,Condo,1984.0,0.0,563994.0,31
94536.0,Centerville,2.0,2.0,990.0,Condo,1984.0,5931.0,300000.0,31
94536.0,Centerville,2.0,2.0,990.0,Condo,1984.0,4161.0,421000.0,31
94536.0,Centerville,2.0,2.0,990.0,Condo,1984.0,3956.0,165000.0,31
94536.0,Centerville,2.0,2.0,990.0,Condo,1984.0,,nan,31
94536.0,Centerville,2.0,2.0,990.0,Condo,1984.0,,nan,31
94555.0,Northgate,2.0,2.0,1296.0,Townhouse,1985.0,0.0,758363.0,32
94555.0,Northgate,2.0,2.0,1296.0,Townhouse,1985.0,5706.0,350000.0,32
94555.0,Northgate,2.0,2.0,1296.0,Townhouse,1985.0,2904.0,366000.0,32
94555.0,Northgate,2.0,2.0,1296.0,Townhouse,1985.0,3441.0,439000.0,32
94555.0,Northgate,2.0,2.0,1296.0,Townhouse,1985.0,4199.0,2745.0,32
94555.0,Northgate,2.0,2.0,1296.0,Townhouse,1985.0,,nan,32
94538.0,Downtown,3.0,1.0,1050.0,Single Family,1957.0,0.0,720534.0,33
94538.0,Downtown,3.0,1.0,1050.0,Single Family,1957.0,411.0,155500.0,33
94538.0,Downtown,3.0,1.0,1050.0,Single Family,1957.0,,nan,33
94538.0,Downtown,3.0,1.0,1050.0,Single Family,1957.0,,nan,33
94538.0,Downtown,3.0,1.0,1050.0,Single Family,1957.0,,nan,33
94538.0,Downtown,3.0,1.0,1050.0,Single Family,1957.0,,nan,33
94536.0,Cabrillo,3.0,1.0,1284.0,Townhouse,1971.0,0.0,748761.0,34
94536.0,Cabrillo,3.0,1.0,1284.0,Townhouse,1971.0,7592.0,126000.0,34
94536.0,Cabrillo,3.0,1.0,1284.0,Townhouse,1971.0,6438.0,179500.0,34
94536.0,Cabrillo,3.0,1.0,1284.0,Townhouse,1971.0,423.0,142000.0,34
94536.0,Cabrillo,3.0,1.0,1284.0,Townhouse,1971.0,,nan,34
94536.0,Cabrillo,3.0,1.0,1284.0,Townhouse,1971.0,,nan,34
94555.0,Ardenwood,4.0,3.0,1727.0,Single Family,1987.0,0.0,1037244.0,35
94555.0,Ardenwood,4.0,3.0,1727.0,Single Family,1987.0,426.0,3299.0,35
94555.0,Ardenwood,4.0,3.0,1727.0,Single Family,1987.0,6597.0,347500.0,35
94555.0,Ardenwood,4.0,3.0,1727.0,Single Family,1987.0,5577.0,639000.0,35
94555.0,Ardenwood,4.0,3.0,1727.0,Single Family,1987.0,,nan,35
94555.0,Ardenwood,4.0,3.0,1727.0,Single Family,1987.0,,nan,35
94536.0,Cherry-Guardino,2.0,1.0,1008.0,Townhouse,1971.0,0.0,511816.0,36
94536.0,Cherry-Guardino,2.0,1.0,1008.0,Townhouse,1971.0,4577.0,255000.0,36
94536.0,Cherry-Guardino,2.0,1.0,1008.0,Townhouse,1971.0,5070.0,275000.0,36
94536.0,Cherry-Guardino,2.0,1.0,1008.0,Townhouse,1971.0,4104.0,390000.0,36
94536.0,Cherry-Guardino,2.0,1.0,1008.0,Townhouse,1971.0,2162.0,177500.0,36
94536.0,Cherry-Guardino,2.0,1.0,1008.0,Townhouse,1971.0,4291.0,123000.0,36
94536.0,Centerville,2.0,1.0,1071.0,Single Family,1951.0,0.0,635252.0,37
94536.0,Centerville,2.0,1.0,1071.0,Single Family,1951.0,1006.0,415000.0,37
94536.0,Centerville,2.0,1.0,1071.0,Single Family,1951.0,4321.0,190500.0,37
94536.0,Centerville,2.0,1.0,1071.0,Single Family,1951.0,,nan,37
94536.0,Centerville,2.0,1.0,1071.0,Single Family,1951.0,,nan,37
94536.0,Centerville,2.0,1.0,1071.0,Single Family,1951.0,,nan,37
94536.0,Glenmoor,3.0,1.0,1411.0,Single Family,1961.0,0.0,960753.0,38
94536.0,Glenmoor,3.0,1.0,1411.0,Single Family,1961.0,4486.0,564000.0,38
94536.0,Glenmoor,3.0,1.0,1411.0,Single Family,1961.0,4413.0,158000.0,38
94536.0,Glenmoor,3.0,1.0,1411.0,Single Family,1961.0,,nan,38
94536.0,Glenmoor,3.0,1.0,1411.0,Single Family,1961.0,,nan,38
94536.0,Glenmoor,3.0,1.0,1411.0,Single Family,1961.0,,nan,38
94555.0,Ardenwood,2.0,2.0,1440.0,,,0.0,680193.0,39
94555.0,Ardenwood,2.0,2.0,1440.0,,,443.0,50000.0,39
94555.0,Ardenwood,2.0,2.0,1440.0,,,,nan,39
94555.0,Ardenwood,2.0,2.0,1440.0,,,,nan,39
94555.0,Ardenwood,2.0,2.0,1440.0,,,,nan,39
94555.0,Ardenwood,2.0,2.0,1440.0,,,,nan,39
94538.0,28 Palms,3.0,1.0,1232.0,Single Family,1965.0,0.0,816746.0,40
94538.0,28 Palms,3.0,1.0,1232.0,Single Family,1965.0,4280.0,640000.0,40
94538.0,28 Palms,3.0,1.0,1232.0,Single Family,1965.0,3183.0,435000.0,40
94538.0,28 Palms,3.0,1.0,1232.0,Single Family,1965.0,444.0,700000.0,40
94538.0,28 Palms,3.0,1.0,1232.0,Single Family,1965.0,,nan,40
94538.0,28 Palms,3.0,1.0,1232.0,Single Family,1965.0,,nan,40
94538.0,Grimmer,3.0,1.0,1151.0,Single Family,1958.0,0.0,866836.0,41
94538.0,Grimmer,3.0,1.0,1151.0,Single Family,1958.0,2716.0,560000.0,41
94538.0,Grimmer,3.0,1.0,1151.0,Single Family,1958.0,1703.0,375000.0,41
94538.0,Grimmer,3.0,1.0,1151.0,Single Family,1958.0,4595.0,50000.0,41
94538.0,Grimmer,3.0,1.0,1151.0,Single Family,1958.0,,nan,41
94538.0,Grimmer,3.0,1.0,1151.0,Single Family,1958.0,,nan,41
94536.0,Cabrillo,2.0,2.0,969.0,Townhouse,1969.0,0.0,507757.0,42
94536.0,Cabrillo,2.0,2.0,969.0,Townhouse,1969.0,7758.0,95500.0,42
94536.0,Cabrillo,2.0,2.0,969.0,Townhouse,1969.0,7494.0,96000.0,42
94536.0,Cabrillo,2.0,2.0,969.0,Townhouse,1969.0,6317.0,175000.0,42
94536.0,Cabrillo,2.0,2.0,969.0,Townhouse,1969.0,5591.0,230000.0,42
94536.0,Cabrillo,2.0,2.0,969.0,Townhouse,1969.0,4007.0,373000.0,42
94538.0,Irvington,4.0,2.5,1568.0,Condo,2007.0,0.0,918840.0,43
94538.0,Irvington,4.0,2.5,1568.0,Condo,2007.0,4748.0,195000.0,43
94538.0,Irvington,4.0,2.5,1568.0,Condo,2007.0,,nan,43
94538.0,Irvington,4.0,2.5,1568.0,Condo,2007.0,,nan,43
94538.0,Irvington,4.0,2.5,1568.0,Condo,2007.0,,nan,43
94538.0,Irvington,4.0,2.5,1568.0,Condo,2007.0,,nan,43
94538.0,Irvington,3.0,1.0,1550.0,Single Family,1959.0,0.0,1045651.0,44
94538.0,Irvington,3.0,1.0,1550.0,Single Family,1959.0,8305.0,211000.0,44
94538.0,Irvington,3.0,1.0,1550.0,Single Family,1959.0,5052.0,180000.0,44
94538.0,Irvington,3.0,1.0,1550.0,Single Family,1959.0,,nan,44
94538.0,Irvington,3.0,1.0,1550.0,Single Family,1959.0,,nan,44
94538.0,Irvington,3.0,1.0,1550.0,Single Family,1959.0,,nan,44
94536.0,Cherry-Guardino,3.0,1.0,1064.0,Single Family,1955.0,0.0,773024.0,45
94536.0,Cherry-Guardino,3.0,1.0,1064.0,Single Family,1955.0,4173.0,360000.0,45
94536.0,Cherry-Guardino,3.0,1.0,1064.0,Single Family,1955.0,1276.0,360000.0,45
94536.0,Cherry-Guardino,3.0,1.0,1064.0,Single Family,1955.0,507.0,80000.0,45
94536.0,Cherry-Guardino,3.0,1.0,1064.0,Single Family,1955.0,,nan,45
94536.0,Cherry-Guardino,3.0,1.0,1064.0,Single Family,1955.0,,nan,45
94538.0,Grimmer,4.0,4.0,2210.0,Single Family,1955.0,0.0,1353763.0,46
94538.0,Grimmer,4.0,4.0,2210.0,Single Family,1955.0,1153.0,835000.0,46
